ミスター青山コンテスト,6,86,23,http://mrcolle.com///img/contests/mraoyama2014/header.jpg
ミスター慶應コンテスト,5,88,24,http://mrcolle.com///img/contests/mrkeio2014/header.jpg
ミスター東大コンテスト,5,93,26,http://mrcolle.com///img/contests/mrtokyo2014/header.jpg
ミスター学習院コンテスト,4,85,22,http://mrcolle.com///img/contests/mrgakushuin2014/header.jpg
ミスターソフィアコンテスト,5,93,23,http://mrcolle.com///img/contests/mrsophia2014/header.jpg
ミスター立教コンテスト,6,95,25,http://mrcolle.com///img/contests/mrrikkyo2014/header.jpg
ミスター中央コンテスト,5,88,25,http://mrcolle.com///img/contests/mrchuo2014/header.jpg
ミスター理科大コンテスト,7,84,19,http://mrcolle.com///img/contests/mrtus2014/header.jpg
ミスターSFCコンテスト,3,96,25,http://mrcolle.com///img/contests/mrsfc2014/header.jpg
ミスターYNUコンテスト,5,88,26,http://mrcolle.com///img/contests/mrynu2014/header.jpg
ミスター桜美林コンテスト,4,94,16,http://mrcolle.com///img/contests/mrobirin2014/header.jpg
桜麗祭ミスターコンテスト,4,80,21,http://mrcolle.com///img/contests/mrohrei2014/header.jpg
ミスターYCUコンテスト,4,92,26,http://mrcolle.com///img/contests/mrycu2014/header.jpg
ミスター専修コンテスト,5,88,26,http://mrcolle.com///img/contests/mrsenshu2014/header.jpg
ミスターキャンパス関大,5,81,22,http://mrcolle.com///img/contests/mrkansai2014/header.jpg
THE BRIGHTEST AWARD,4,90,26,http://mrcolle.com///img/contests/mrtba2014/header.jpg
ミスター駒澤コンテスト,5,84,23,http://mrcolle.com///img/contests/mrkomazawa2014/header.jpg
ミスター武蔵野コンテスト,3,94,22,http://mrcolle.com///img/contests/mrmusashino2014/header.jpg
ミスター兵庫県立コンテスト,5,86,26,http://mrcolle.com///img/contests/mrhyogo2014/header.jpg
ミスターフェニックスコンテスト,4,96,25,http://mrcolle.com///img/contests/mrphoenix2014/header.jpg
青舎祭ミスターキャンパスコンテスト,5,91,27,http://mrcolle.com///img/contests/mrteikyo2014/header.jpg
ミスター國學院コンテスト,5,92,28,http://mrcolle.com///img/contests/mrkokugakuin2014/header.jpg
ミスターアプリコットコンテスト,4,94,22,http://mrcolle.com///img/contests/mrkyorin2014/header.jpg
ミスター三崎コンテスト,4,88,26,http://mrcolle.com///img/contests/mrmisaki2014/header.jpg
ミスター明治学院コンテスト,5,88,25,http://mrcolle.com///img/contests/mrmeijigakuin2014/header.jpg
ミスターNUBSコンテスト,5,83,24,http://mrcolle.com///img/contests/mrnubs2014/header.jpg
摂南コレクション,5,87,23,http://mrcolle.com///img/contests/mrsetsunan2014/header.jpg
ミスター大東コンテスト,4,69,20,http://mrcolle.com///img/contests/mrdaito2014/header.jpg
ミスター千葉大コンテスト,5,96,25,http://mrcolle.com///img/contests/mrchiba2014/header.jpg
ミスター北里コンテスト,5,96,26,http://mrcolle.com///img/contests/mrkitasato2014/header.jpg
ミスター富桜祭コンテスト,3,95,28,http://mrcolle.com///img/contests/mrfuo2014/header.jpg
ミスター砧祭コンテスト,4,67,26,http://mrcolle.com///img/contests/mrkinuta2014/header.jpg
ミスター群馬コンテスト,5,95,26,http://mrcolle.com///img/contests/mrgunma2014/header.jpg
ミスター九大コンテスト,5,94,26,http://mrcolle.com///img/contests/mrkyushu2014/header.jpg
